Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID
85-44710330,89,1,6,,,2,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0269 Comp 4 -53um DTR Cons,85-44710330
86-44710331,88,0.5,7,,,2,,,,,,,,,,,3,,100,Tr,N9821XD21,GVRD0269 Comp 5 -53um DTR Cons,86-44710331
87-44710332,93,2,4,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 6 -53um DTR Cons,87-44710332
88-44710333,92,2,5,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 7 -53um DTR Cons,88-44710333
1-0034,87,2,8,0.5,,1,,,,,0.5,,,,,,,,100,Tr,N9606XD21,NSRD0800 Comp 4 -53um DTR Sent for repeat,1-0034
2-0035,91,,7,0.5,,1,,,,,0.5,,,,,,,,100,Tr,N9606XD21,NSRD0800 Comp 5 -53um DTR Sent for repeat,2-0035
3-0036,91,,5,1,,0.5,,,,1,0.5,,,,,,,,100,Tr,N9606XD21,NSRD0800 Comp 6 -53um DTR Sent for repeat,3-0036
4-0037,91,,5,2,,2,,,,,0.5,,,,,,,,100,Tr,N9606XD21,NSRD0800 Comp 8 -53um DTR Sent for repeat,4-0037
5-0038,89,,6,1,,1,,1,0.5,,0.5,,,,,,,,100,Tr,N9606XD21,NSRD0800 Comp 11 -53um DTR Sent for repeat,5-0038
6-0039,91,,6,0.5,,1,,,0.5,,0.5,,,,,,,,100,Tr,N9606XD21,NSRD0800 Comp 15 -53um DTR Sent for repeat,6-0039
7-0040,27,3,40,4,6,12,0.5,,0.5,3,5,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 3 -53um DTR Feed,7-0040
8-0041,28,1,38,4,7,12,0.5,,0.5,2,6,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 4 -53um DTR Feed,8-0041
9-0042,23,1,39,5,5,14,0.5,0.5,0.5,0.5,10,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 5 -53um DTR Feed,9-0042
10-0043,12,,33,9,6,17,2,0.5,0.5,4,16,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 6 -53um DTR Feed,10-0043
11-0044,11,,37,10,5,13,1,1,0.5,5,16,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 7 -53um DTR Feed,11-0044
12-0045,25,,34,5,5,14,0.5,0.5,0.5,2,13,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 8 -53um DTR Feed,12-0045
